dataset	query_id	relevant_count	eos_any_miss_at_10	external_both_hit_at_10	external_both_hit_at_1	external_same_top1_doc	source_first_relevant_ranks	source_ndcg_at_10	source_recall_at_100	source_top1_doc_ids
scifact	53	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""45638119"", ""eos_compact_q4_fp16_o200"": ""45638119"", ""eos_dense"": ""45638119"", ""hybrid_minmax_blend_a050"": ""45638119"", ""mxbai"": ""45638119"", ""qwen3"": ""45638119""}"
scifact	54	1	False	True	True	True	"{""bm25"": 9, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 0.3010299956639812, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""3973445"", ""eos_compact_q4_fp16_o200"": ""49556906"", ""eos_dense"": ""49556906"", ""hybrid_minmax_blend_a050"": ""49556906"", ""mxbai"": ""49556906"", ""qwen3"": ""49556906""}"
scifact	56	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 10, ""eos_dense"": 10, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.2890648263178879, ""eos_dense"": 0.2890648263178879, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""4709641"", ""eos_compact_q4_fp16_o200"": ""11428884"", ""eos_dense"": ""11428884"", ""hybrid_minmax_blend_a050"": ""4709641"", ""mxbai"": ""4709641"", ""qwen3"": ""4709641""}"
scifact	57	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 2, ""eos_dense"": 2, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.6309297535714574, ""eos_dense"": 0.6309297535714574, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""4709641"", ""eos_compact_q4_fp16_o200"": ""11428884"", ""eos_dense"": ""11428884"", ""hybrid_minmax_blend_a050"": ""4709641"", ""mxbai"": ""4709641"", ""qwen3"": ""4709641""}"
scifact	70	2	False	True	False	False	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 9}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.8503449055347547, ""eos_dense"": 0.8503449055347547, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 0.1845756967795682}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""5956380"", ""eos_compact_q4_fp16_o200"": ""5956380"", ""eos_dense"": ""5956380"", ""hybrid_minmax_blend_a050"": ""5956380"", ""mxbai"": ""5956380"", ""qwen3"": ""23985464""}"
scifact	72	1	False	True	False	False	"{""bm25"": 6, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 2, ""qwen3"": 3}"	"{""bm25"": 0.3562071871080222, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 0.6309297535714574, ""qwen3"": 0.5}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""18895793"", ""eos_compact_q4_fp16_o200"": ""6076903"", ""eos_dense"": ""6076903"", ""hybrid_minmax_blend_a050"": ""6076903"", ""mxbai"": ""8997410"", ""qwen3"": ""3825472""}"
scifact	75	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""4387784"", ""eos_compact_q4_fp16_o200"": ""4387784"", ""eos_dense"": ""4387784"", ""hybrid_minmax_blend_a050"": ""4387784"", ""mxbai"": ""4387784"", ""qwen3"": ""4387784""}"
scifact	94	1	True	False	False	False	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 39, ""eos_dense"": 39, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 12}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 0.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""1215116"", ""eos_compact_q4_fp16_o200"": ""2356950"", ""eos_dense"": ""2356950"", ""hybrid_minmax_blend_a050"": ""1215116"", ""mxbai"": ""1215116"", ""qwen3"": ""9110810""}"
scifact	99	1	False	True	False	False	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 4, ""eos_dense"": 4, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 2}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.43067655807339306, ""eos_dense"": 0.43067655807339306, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 0.6309297535714574}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""18810195"", ""eos_compact_q4_fp16_o200"": ""25373397"", ""eos_dense"": ""25373397"", ""hybrid_minmax_blend_a050"": ""18810195"", ""mxbai"": ""18810195"", ""qwen3"": ""10247314""}"
scifact	100	1	True	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 38, ""eos_dense"": 38, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""4381486"", ""eos_compact_q4_fp16_o200"": ""35684881"", ""eos_dense"": ""35684881"", ""hybrid_minmax_blend_a050"": ""4381486"", ""mxbai"": ""4381486"", ""qwen3"": ""4381486""}"
scifact	113	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""6157837"", ""eos_compact_q4_fp16_o200"": ""6157837"", ""eos_dense"": ""6157837"", ""hybrid_minmax_blend_a050"": ""6157837"", ""mxbai"": ""6157837"", ""qwen3"": ""6157837""}"
scifact	115	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 8, ""eos_dense"": 8, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.3154648767857287, ""eos_dense"": 0.3154648767857287, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""33872649"", ""eos_compact_q4_fp16_o200"": ""3619372"", ""eos_dense"": ""3619372"", ""hybrid_minmax_blend_a050"": ""33872649"", ""mxbai"": ""33872649"", ""qwen3"": ""33872649""}"
scifact	118	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""6372244"", ""eos_compact_q4_fp16_o200"": ""6372244"", ""eos_dense"": ""6372244"", ""hybrid_minmax_blend_a050"": ""6372244"", ""mxbai"": ""6372244"", ""qwen3"": ""6372244""}"
scifact	124	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""4883040"", ""eos_compact_q4_fp16_o200"": ""4883040"", ""eos_dense"": ""4883040"", ""hybrid_minmax_blend_a050"": ""4883040"", ""mxbai"": ""4883040"", ""qwen3"": ""4883040""}"
scifact	127	1	True	True	True	True	"{""bm25"": 3, ""eos_compact_q4_fp16_o200"": 20, ""eos_dense"": 20, ""hybrid_minmax_blend_a050"": 2, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 0.5, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 0.6309297535714574, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""35231675"", ""eos_compact_q4_fp16_o200"": ""3765739"", ""eos_dense"": ""3765739"", ""hybrid_minmax_blend_a050"": ""293661"", ""mxbai"": ""21598000"", ""qwen3"": ""21598000""}"
scifact	128	1	False	False	False	False	"{""bm25"": 3, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 92, ""qwen3"": 0}"	"{""bm25"": 0.5, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 0.0, ""qwen3"": 0.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 0.0}"	"{""bm25"": ""23513718"", ""eos_compact_q4_fp16_o200"": ""8290953"", ""eos_dense"": ""8290953"", ""hybrid_minmax_blend_a050"": ""8290953"", ""mxbai"": ""12549585"", ""qwen3"": ""25175997""}"
scifact	129	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 7, ""eos_dense"": 7, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.3333333333333333, ""eos_dense"": 0.3333333333333333, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""27768226"", ""eos_compact_q4_fp16_o200"": ""2762601"", ""eos_dense"": ""2762601"", ""hybrid_minmax_blend_a050"": ""27768226"", ""mxbai"": ""27768226"", ""qwen3"": ""27768226""}"
scifact	130	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 3, ""eos_dense"": 3, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.5, ""eos_dense"": 0.5, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""27768226"", ""eos_compact_q4_fp16_o200"": ""2762601"", ""eos_dense"": ""2762601"", ""hybrid_minmax_blend_a050"": ""27768226"", ""mxbai"": ""27768226"", ""qwen3"": ""27768226""}"
scifact	132	1	True	False	False	True	"{""bm25"": 0, ""eos_compact_q4_fp16_o200"": 0, ""eos_dense"": 0, ""hybrid_minmax_blend_a050"": 0, ""mxbai"": 12, ""qwen3"": 0}"	"{""bm25"": 0.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 0.0, ""mxbai"": 0.0, ""qwen3"": 0.0}"	"{""bm25"": 0.0, ""eos_compact_q4_fp16_o200"": 0.0, ""eos_dense"": 0.0, ""hybrid_minmax_blend_a050"": 0.0, ""mxbai"": 1.0, ""qwen3"": 0.0}"	"{""bm25"": ""21181273"", ""eos_compact_q4_fp16_o200"": ""195352"", ""eos_dense"": ""195352"", ""hybrid_minmax_blend_a050"": ""39903312"", ""mxbai"": ""3866315"", ""qwen3"": ""3866315""}"
scifact	133	5	False	True	False	False	"{""bm25"": 2, ""eos_compact_q4_fp16_o200"": 2, ""eos_dense"": 2, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 2, ""qwen3"": 1}"	"{""bm25"": 0.21398626473452756, ""eos_compact_q4_fp16_o200"": 0.21398626473452756, ""eos_dense"": 0.21398626473452756, ""hybrid_minmax_blend_a050"": 0.4852285551163227, ""mxbai"": 0.7738931964842559, ""qwen3"": 0.943473299121064}"	"{""bm25"": 0.8, ""eos_compact_q4_fp16_o200"": 0.6, ""eos_dense"": 0.6, ""hybrid_minmax_blend_a050"": 0.8, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""19752008"", ""eos_compact_q4_fp16_o200"": ""16686383"", ""eos_dense"": ""16686383"", ""hybrid_minmax_blend_a050"": ""6969753"", ""mxbai"": ""86694016"", ""qwen3"": ""16280642""}"
scifact	137	1	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 1, ""eos_dense"": 1, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""26016929"", ""eos_compact_q4_fp16_o200"": ""26016929"", ""eos_dense"": ""26016929"", ""hybrid_minmax_blend_a050"": ""26016929"", ""mxbai"": ""26016929"", ""qwen3"": ""26016929""}"
scifact	141	2	False	True	True	True	"{""bm25"": 1, ""eos_compact_q4_fp16_o200"": 2, ""eos_dense"": 2, ""hybrid_minmax_blend_a050"": 1, ""mxbai"": 1, ""qwen3"": 1}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 0.6509209298071325, ""eos_dense"": 0.6509209298071325, ""hybrid_minmax_blend_a050"": 0.9197207891481877, ""mxbai"": 0.8772153153380494, ""qwen3"": 1.0}"	"{""bm25"": 1.0, ""eos_compact_q4_fp16_o200"": 1.0, ""eos_dense"": 1.0, ""hybrid_minmax_blend_a050"": 1.0, ""mxbai"": 1.0, ""qwen3"": 1.0}"	"{""bm25"": ""14437255"", ""eos_compact_q4_fp16_o200"": ""41182002"", ""eos_dense"": ""41182002"", ""hybrid_minmax_blend_a050"": ""14437255"", ""mxbai"": ""14437255"", ""qwen3"": ""14437255""}"
